!SIL sil
<UNK> spn
żal	Z a l
nachylił	n a h i2 l j w
dobiega	d o b i e g a
oblepiony	o b l e p i o n i2
eucharystii	e u h a r i2 s t j i
rzeczywisty	Z e tS i2 v i s t i2
hipercieniutkich	h j p e r tsj e n i u t k i h
sytuacja	s i2 t u a c j a
nikołajewicza	n i k o w a j e v i tS a
kultowym	k u l t o v i2 m
koniecznie	k o n i e tS n i e
szczęśliwa	S tS eo5 sj l j v a
biblijne	b i b l j j n e
polowaniu	p o l o v a n i u
ręce	r eo5 c e
intymne	i n t i2 m n e
twoich	t f o i h
ud	u d
huczy	h u tS i2
róża	r u Z a
widzimy	v i dzj i m i2
formą	f o r m oc5
córkę	c u r k e
jerzego	j e Z e g o
wymyśliłam	v i2 m i2 sj l j w a m
zejdź	z e j dzj
biedy	b i e d i2
uchodził	u h o dzj i w
czerpać	tS e r p a tsj
przeszukiwała	p S e S u k i v a w a
planet	p l a n e t
struchlała	s t r u h l a w a
nakładam	n a k w a d a m
mówi	m u v i
drewnianych	d r e v n i a n i2 h
równie	r u v n i e
zdumiewać	z d u m i e v a tsj
ojcze	o j tS e
zachodnich	z a h o d n i h
głosząc	g w o S oc5 c
metafory	m e t a f o r i2
rokujące	r o k u j oc5 c e
rozwija	r o z v i j a
ołowiu	o w o v i u
szept	S e p t
prousta	p r o u s t a
ogromną	o g r o m n oc5
czy	tS i2
morza	m o Z a
kierkegaarda	k i e r k e g a a r d a
pomści	p o m sj tsj i
idioty	i d j o t i2
mogąc	m o g oc5 c
obietnicą	o b i e t n i c oc5
szyi	S i2 i
wystarczy	v i2 s t a r tS i2
przyjaciel	p S i2 j a tsj e l
szedł	S e d w
łowiłem	w o v i w e m
umarli	u m a r l j
podstawowymi	p o d s t a v o v i2 m i
słowiańską	s w o v i a n~ s k oc5
morskim	m o r s k i m
główny	g w u v n i2
surowa	s u r o v a
generacja	g e n e r a c j a
starokawalerskie	s t a r o k a v a l e r s k i e
radio	r a d j o
a	a
impreza	i m p r e z a
lekkomyślny	l e k k o m i2 sj l n i2
300	o t
wojny	v o j n i2
własne	v w a s n e
skóry	s k u r i2
rozwiązywać	r o z v i oc5 z i2 v a tsj
praktyce	p r a k t i2 c e
jedynie	j e d i2 n i e
zabrał	z a b r a w
szkół	S k u w
spontaniczny	s p o n t a n i tS n i2
zbigniewa	z b i g n i e v a
rybczyńskiego	r i2 b tS i2 n~ s k i e g o
przezwyciężyć	p S e z v i2 tsj eo5 Z i2 tsj
podległych	p o d l e g w i2 h
pojednany	p o j e d n a n i2
ulicy	u l j c i2
dotknęło	d o t k n eo5 w o
muły	m u w i2
gwałciciel	g v a w c i tsj e l
szaty	S a t i2
marii	m a r j i
tobie	t o b i e
rezydentem	r e z i2 d e n t e m
słowy	s w o v i2
atletami	a t l e t a m i
dzisiejszym	dzj i sj e j S i2 m
językiem	j eo5 z i2 k i e m
cywilizacyjnego	c i2 v i l j z a c i2 j n e g o
hemoroidów	h e m o r o i d u v
podjąłeś	p o d j oc5 w e sj
nieodpartą	n i e o d p a r t oc5
grunt	g r u n t
ostatnio	o s t a t n i o
wreszcie	v r e S tsj e
niechaj	n i e h a j
uchronić	u h r o n i tsj
polami	p o l a m i
stendhala	s t e n d h a l a
zatem	z a t e m
zakorzenione	z a k o Z e n i o n e
dla	d l a
by	b i2
siecią	sj e tsj oc5
hokejowego	h o k e j o v e g o
conieco	c o n i e c o
zakazuje	z a k a z u j e
warunki	v a r u n k i
wstępie	v s t eo5 p i e
powinien	p o v i n i e n
skupionej	s k u p i o n e j
tuszem	t u S e m
wiemy	v i e m i2
uduchowioną	u d u h o v i o n oc5
interaktywne	i n t e r a k t i2 v n e
to-	t o
krem	k r e m
idealną	i d e a l n oc5
zobaczyć	z o b a tS i2 tsj
przygotowany	p S i2 g o t o v a n i2
przyjaciela	p S i2 j a tsj e l a
wyrzec	v i2 Z e c
wyszło	v i2 S w o
kawałki	k a v a w k i
ubierała	u b i e r a w a
udzielić	u dzj e l j tsj
może	m o Z e
wspieranie	v s p i e r a n i e
przeklęty	p S e k l eo5 t i2
dysku	d i2 s k u
naukowiec	n a u k o v i e c
optymizmu	o p t i2 m i z m u
baletem	b a l e t e m
używam	u Z i2 v a m
leczy	l e tS i2
udaną	u d a n oc5
molestowania	m o l e s t o v a n i a
serii	s e r j i
mówią	m u v i oc5
mcintosh	m tsj i n t o s h
nią	n i oc5
wyznaniem	v i2 z n a n i e m
dbać	d b a tsj
czasu	tS a s u
perspektywy	p e r s p e k t i2 v i2
potomnym	p o t o m n i2 m
plwocina	p l v o tsj i n a
znanej	z n a n e j
kurtynę	k u r t i2 n e
banku	b a n k u
piszę	p i S e
wszechstronnie	v S e h s t r o n n i e
zdaniach	z d a n i a h
encyklopedii	e n c i2 k l o p e d j i
prawni	p r a v n i
tytuł	t i2 t u w
wiem	v i e m
taśmie	t a sj m i e
obok	o b o k
francuskiej	f r a n c u s k i e j
chociaż	h o tsj a S
zafałszowanie	z a f a w S o v a n i e
oryginału	o r i2 g i n a w u
urodzenia	u r o dz e n i a
książce	k tsj oc5 Z c e
doświadczasz	d o sj v i a d tS a S
rezygnacji	r e z i2 g n a c j i
nieszczęścia	n i e S tS eo5 sj tsj a
biedni	b i e d n i
graf	g r a f
odległym	o d l e g w i2 m
historyczne	h j s t o r i2 tS n e
miejsce	m i e j s c e
przytrafiło	p S i2 t r a f i w o
wannie	v a n n i e
zginając	z g i n a j oc5 c
wspaniały	v s p a n i a w i2
wielkości	v i e l k o sj tsj i
myszkina-	m i2 S k i n a e
sprawia	s p r a v i a
wynoszenie	v i2 n o S e n i e
odleciał	o d l e tsj a w
hillary	h j l l a r i2
określić-	o k r e sj l j tsj e
rest	r e s t
r	r
starokawalerskich	s t a r o k a v a l e r s k i h
problemami	p r o b l e m a m i
mury	m u r i2
dębowych	d eo5 b o v i2 h
pani	p a n i
sponsorowi	s p o n s o r o v i
dzisiaj	dzj i tsj a j
trwoni	t r v o n i
jawna	j a v n a
wargi	v a r g i
klawesynie	k l a v e s i2 n i e
kolorowej	k o l o r o v e j
100	s t o t
krążka	k r oc5 Z k a
istniejące	i s t n i e j oc5 c e
eksperci	e k s p e r tsj i
1	s t
wzorce	v z o r c e
wynalazcy	v i2 n a l a z c i2
najdrobniejsza	n a j d r o b n i e j S a
jednej	j e d n e j
telewizji	t e l e v i z j i
kordiana	k o r d j a n a
wayne	v a i2 n e
twoje	t f o j e
pozwoli	p o z v o l j
dążeniu	d oc5 Z e n i u
wraz	v r a z
zrezygnowała	z r e z i2 g n o v a w a
teoria	t e o r j a
nawilżający	n a v i l Z a j oc5 c i2
wódz	v u dz
literki	l j t e r k i
zwykle	z v i2 k l e
wstają	v s t a j oc5
stąpać	s t oc5 p a tsj
have	h a f e
wosk	v o s k
rzekomej	Z e k o m e j
trader.pl	t r a d e r p l
dano	d a n o
ustrzec	u s t S e c
za	z a
robimy	r o b i m i2
5	n tsj
ufać	u f a tsj
absurd	a b s u r d
gdyby	g d i2 b i2
stuprocentowych	s t u p r o c e n t o v i2 h
prywatny	p r i2 v a t n i2
igrać	i g r a tsj
kłopot	k w o p o t
pisarza	p i s a Z a
faktycznie	f a k t i2 tS n i e
wiedziony	v i e dzj o n i2
właściwie	v w a sj tsj i v i e
cnoty	c n o t i2
manierę	m a n i e r e
lolkiem	l o l k i e m
umierania	u m i e r a n i a
pisałem	p i s a w e m
kontekst	k o n t e k s t
twojego	t f o j e g o
pępkiem	p eo5 p k i e m
uczesanie	u tS e s a n i e
publiczni	p u b l j tS n i
kostiumów	k o s t j u m u v
muszą	m u S oc5
przeprowadzać	p S e p r o v a dz a tsj
pokolenie	p o k o l e n i e
przypadku	p S i2 p a t k u
rodzaju	r o dz a j u
zagrałaś	z a g r a w a sj
ostatniej	o s t a t n i e j
rozgrywa	r o z g r i2 v a
nam	n a m
życia	Z i2 tsj a
deski	d e s k i
mechaniczna	m e h a n i tS n a
uczucia	u tS u tsj a
jaw	j a v
twierdzimy	t f i e r dzj i m i2
doznawszy	d o z n a v S i2
rzędu	Z eo5 d u
wcielił	v tsj e l j w
nowiem	n o v i e m
który	k t u r i2
niemców	n i e m c u v
pokazują	p o k a z u j oc5
serię	s e r j e
wypędzony	v i2 p eo5 dz o n i2
odczuwamy	o d tS u v a m i2
pełnym	p e w n i2 m
sposoby	s p o s o b i2
południowych	p o w u d n i o v i2 h
rozwiązaniem	r o z v i oc5 z a n i e m
źródła	zj r u d w a
szóstą	S u s t oc5
chcą	h c oc5
kosmetyków	k o s m e t i2 k u v
wewnętrznie	v e v n eo5 t S n i e
zawsze	z a v S e
wędrując	v eo5 d r u j oc5 c
wiarą	v i a r oc5
biochemik	b i o h e m i k
zające	z a j oc5 c e
pomalowała	p o m a l o v a w a
kwiatów	k f i a t u v
działalności	dzj a w a l n o sj tsj i
reasumując	r e a s u m u j oc5 c
prawdę	p r a v d e
rozmowy	r o z m o v i2
tancerką	t a n c e r k oc5
wieży	v i e Z i2
książkę	k tsj oc5 Z k e
niepotrzebującym	n i e p o t S e b u j oc5 c i2 m
czynienia	tS i2 n i e n i a
wyszukiwarki	v i2 S u k i v a r k i
udowodnienie	u d o v o d n i e n i e
cesarza-	c e s a Z a e
zasypia	z a s i2 p i a
odbywać	o d b i2 v a tsj
wystawione	v i2 s t a v i o n e
instrukcja	i n s t r u k c j a
figurę	f i g u r e
utkanym	u t k a n i2 m
poznaniem	p o z n a n i e m
świętego	sj v i eo5 t e g o
wyglądasz	v i2 g l oc5 d a S
lokalnej	l o k a l n e j
neuschwanstein	n e u s h v a n s t e i n
twoją	t f o j oc5
tym	t i2 m
europy	e u r o p i2
doznając	d o z n a j oc5 c
wichry	v i h r i2
pojawia	p o j a v i a
łabędzie	w a b eo5 dzj e
ważny	v a Z n i2
mi	m i
młot	m w o t
och	o h
będziemy	b eo5 dzj e m i2
niepodzielną	n i e p o dzj e l n oc5
iluzoryczna	i l u z o r i2 tS n a
kręcących	k r eo5 c oc5 c i2 h
granic	g r a n i c
doświadczeniu	d o sj v i a d tS e n i u
prozac	p r o z a c
postępowania-	p o s t eo5 p o v a n i a e
nieogarnione	n i e o g a r n i o n e
wieści	v i e sj tsj i
powtarzając	p o v t a Z a j oc5 c
naładowanych	n a w a d o v a n i2 h
wisły	v i s w i2
rozsądku	r o z s oc5 t k u
jelenich	j e l e n i h
zbudował	z b u d o v a w
zawodowa	z a v o d o v a
dzieckiem	dzj e c k i e m
targać	t a r g a tsj
ulotne	u l o t n e
znika	z n i k a
artystów	a r t i2 s t u v
dzień	dzj e n~
południowe	p o w u d n i o v e
pomyśle	p o m i2 sj l e
6	tsj e
powiedz	p o v i e dz
d)-	d e
zginął	z g i n oc5 w
polskiego	p o l s k i e g o
pecha	p e h a
łatwo	w a t f o
wszelkiego	v S e l k i e g o
dłonie	d w o n i e
kozła	k o z w a
równoległego	r u v n o l e g w e g o
kafkowski	k a f k o v s k i
jenże	j e n Z e
uzyskać	u z i2 s k a tsj
wzmocnić	v z m o c n i tsj
dziwnie	dzj i v n i e
potrzebują	p o t S e b u j oc5
zapartym	z a p a r t i2 m
kochankami	k o h a n k a m i
widzenia	v i dz e n i a
najpierw	n a j p i e r v
uczynił	u tS i2 n i w
896	o sj eo5 tsj tsj e
osadzoną	o s a dz o n oc5
boisz	b o i S
instynkt	i n s t i2 n k t
mówić	m u v i tsj
historia	h j s t o r j a
stref	s t r e f
piętrze	p i eo5 t S e
wieść	v i e sj tsj
archiwizacją	a r h j v i z a c j oc5
wojennej	v o j e n n e j
niewiele	n i e v i e l e
karierę	k a r j e r e
romansów	r o m a n s u v
emerytowany	e m e r i2 t o v a n i2
oczu	o tS u
problemy	p r o b l e m i2
nikogo	n i k o g o
doszedł	d o S e d w
odkryto	o t k r i2 t o
wyjechać	v i2 j e h a tsj
litaka	l j t a k a
tłumacz	t w u m a tS
żartuje	Z a r t u j e
pewno	p e v n o
niebieskiemu	n i e b i e s k i e m u
czeka	tS e k a
stron	s t r o n
swym	s v i2 m
żyje	Z i2 j e
doświadczenia	d o sj v i a d tS e n i a
epokę	e p o k e
brakujące	b r a k u j oc5 c e
potrafimy	p o t r a f i m i2
sprawić	s p r a v i tsj
animacja	a n i m a c j a
dzikie	dzj i k i e
zamiast	z a m i a s t
jesteście	j e s t e sj tsj e
winy	v i n i2
rewolucję	r e v o l u c j e
klucz	k l u tS
papież	p a p i e S
straszliwą	s t r a S l j v oc5
andrzej	a n d Z e j
n	n
szczęście	S tS eo5 sj tsj e
ponieważ	p o n i e v a S
książkach	k tsj oc5 Z k a h
wracam	v r a c a m
błahym	b w a h i2 m
rokiem	r o k i e m
tych	t i2 h
dalekich	d a l e k i h
margrafom	m a r g r a f o m
uprawianie	u p r a v i a n i e
wiadomości	v i a d o m o sj tsj i
dało	d a w o
pochłonięte	p o h w o n i eo5 t e
hierarchię	h j e r a r h j e
wydającą	v i2 d a j oc5 c oc5
udało	u d a w o
alkoholicy	a l k o h o l j c i2
organizacji	o r g a n i z a c j i
niewymagającym	n i e v i2 m a g a j oc5 c i2 m
kolidować	k o l j d o v a tsj
kolorów	k o l o r u v
przekroczył	p S e k r o tS i2 w
śpiewka	sj p i e v k a
porażki	p o r a Z k i
wytatuowałeś	v i2 t a t u o v a w e sj
oscar	o s c a r
boju	b o j u
chałupniczym	h a w u p n i tS i2 m
pornografię	p o r n o g r a f i e
szybkość	S i2 b k o sj tsj
przypadkowe	p S i2 p a t k o v e
język	j eo5 z i2 k
skąd	s k oc5 d
wyprowadzając	v i2 p r o v a dz a j oc5 c
messyny	m e S i2 n i2
tajlandzka	t a j l a n dz k a
spoczywa	s p o tS i2 v a
twoim	t f o i m
czynności	tS i2 n n o sj tsj i
informacji	i n f o r m a c j i
nakrycia	n a k r i2 tsj a
wysnuć	v i2 s n u tsj
wystawił	v i2 s t a v i w
b-1b	b e tS t b
krzyża	k S i2 Z a
kobiecych	k o b i e c i2 h
rytuałem	r i2 t u a w e m
żałośnie	Z a w o sj n i e
kołysany	k o w i2 s a n i2
wajdzie	v a j dzj e
trzeba	t S e b a
postąpisz	p o s t oc5 p i S
pisarz	p i s a S
mówiąc	m u v i oc5 c
zaszczepiona	z a S tS e p i o n a
ujarzmił	u j a Z m i w
orfeuszu	o r f e u S u
cichego	tsj i h e g o
niewyrażalny	n i e v i2 r a Z a l n i2
pan	p a n
tchnie	t h n i e
gry	g r i2
włóczęga	v w u tS eo5 g a
bylibyśmy	b i2 l j b i2 sj m i2
one	o n e
oczyma	o tS i2 m a
dni	d n i
skaner	s k a n e r
silnym	sj i l n i2 m
podciągaj	p o d tsj oc5 g a j
zapoznać	z a p o z n a tsj
kolumn	k o l u m n
pracowników	p r a c o v n i k u v
pracujące	p r a c u j oc5 c e
soli	s o l j
aktorem	a k t o r e m
życia-	Z i2 tsj a e
wielkie	v i e l k i e
drogę	d r o g e
wyszywaniu	v i2 S i2 v a n i u
słowiański	s w o v i a n~ s k i
wyprawy	v i2 p r a v i2
okien	o k i e n
wnętrza	v n eo5 t S a
doświadczeniami	d o sj v i a d tS e n i a m i
o	o
gero	g e r o
przyjaciółki	p S i2 j a tsj u w k i
ludźmi	l u dzj m i
pokoje	p o k o j e
rzadkości	Z a t k o sj tsj i
szkolnej	S k o l n e j
łatwiej	w a t f i e j
kości	k o sj tsj i
pójdziemy	p u j dzj e m i2
szkołę	S k o w e
problemów	p r o b l e m u v
jął	j oc5 w
pozytywnie	p o z i2 t i2 v n i e
strun	s t r u n
nieślubny	n i e sj l u b n i2
skrzą	s k S oc5
chardina	h a r d j n a
zacząłem	z a tS oc5 w e m
sprowadzał	s p r o v a dz a w
zwierciadłem	z v i e r tsj a d w e m
maszyny	m a S i2 n i2
stołku	s t o w k u
upstrzonym	u p s t S o n i2 m
palenia	p a l e n i a
spać	s p a tsj
nałożysz	n a w o Z i2 S
miłośników	m i w o sj n i k u v
obejrzeć	o b e j Z e tsj
milczeniem	m i l tS e n i e m
wiek	v i e k
kluczowego	k l u tS o v e g o
oczom	o tS o m
kluczowymi	k l u tS o v i2 m i
zosia	z o tsj a
depresji	d e p r e s j i
jestem	j e s t e m
wleźć	v l e zj tsj
śmiertelników	sj m i e r t e l n i k u v
strażniczko	s t r a Z n i tS k o
kolejkowe	k o l e j k o v e
krótki	k r u t k i
uratować	u r a t o v a tsj
składankę	s k w a d a n k e
pokładzie	p o k w a dzj e
najbliższej	n a j b l j Z S e j
bohater	b o h a t e r
metafizyka	m e t a f i z i2 k a
cesarz	c e s a S
radiu	r a d j u
obwałował	o b v a w o v a w
rozpoczęcie	r o z p o tS eo5 tsj e
lutyki	l u t i2 k i
uznawaniu	u z n a v a n i u
wideo	v i d e o
postawisz	p o s t a v i S
braterskiej	b r a t e r s k i e j
zdjęciu-	z d j eo5 tsj u
obnażał	o b n a Z a w
systemu	s i2 s t e m u
utworzą	u t f o Z oc5
nazwana	n a z v a n a
przedziwną	p S e dzj i v n oc5
polskiej-	p o l s k i e j e
herrenchiemsee	h e r r e n h j e m s e e
grać	g r a tsj
arystotelesie	a r i2 s t o t e l e sj e
ludzkiej	l u dz k i e j
intuicją	i n t u i c j oc5
żadnej	Z a d n e j
staraj	s t a r a j
ramion	r a m i o n
poetykę	p o e t i2 k e
ta	t a
akt	a k t
ofiary	o f i a r i2
uległo	u l e g w o
przenosili	p S e n o sj i l j
poległych	p o l e g w i2 h
krążki	k r oc5 Z k i
stulecia	s t u l e tsj a
sposób	s p o s u b
fragmenty	f r a g m e n t i2
ubierać	u b i e r a tsj
kalkulacyjnym	k a l k u l a c i2 j n i2 m
princess	p r j n c e S
skład	s k w a d
pewne	p e v n e
oceną	o c e n oc5
załogi	z a w o g i
zdarzyć	z d a Z i2 tsj
chce	h c e
rybaków	r i2 b a k u v
agresji	a g r e s j i
chwilą	h v i l oc5
przyjaciółką	p S i2 j a tsj u w k oc5
żadnego	Z a d n e g o
jego	j e g o
modlił	m o d l j w
rzut	Z u t
rok	r o k
wozów	v o z u v
liście	l j sj tsj e
poszukującym	p o S u k u j oc5 c i2 m
aktorów	a k t o r u v
kolorze	k o l o Z e
jedno	j e d n o
blisko	b l j s k o
uodparnia	u o d p a r n i a
żyła	Z i2 w a
jej	j e j
rodzić	r o dzj i tsj
przedstawia	p S e d s t a v i a
dzieciństwo	dzj e tsj i n~ s t f o
planu	p l a n u
łagodni	w a g o d n i
niższości	n i Z S o sj tsj i
klęsce	k l eo5 s c e
nieznanej	n i e z n a n e j
tradycyjnie	t r a d i2 c i2 j n i e
opiekuńczy	o p i e k u n~ tS i2
obliczeń	o b l j tS e n~
jesteś	j e s t e sj
spracowaną	s p r a c o v a n oc5
kwestię	k f e s t j e
stronicami	s t r o n i c a m i
punktu	p u n k t u
niccolo	n i c c o l o
miałam	m i a w a m
oczywiście	o tS i2 v i sj tsj e
postaci	p o s t a tsj i
wiecie	v i e tsj e
ucieka	u tsj e k a
małych	m a w i2 h
wysokości	v i2 s o k o sj tsj i
złem	z w e m
osiągnięcie	o tsj oc5 g n i eo5 tsj e
kamienice	k a m i e n i c e
pieczołowicie	p i e tS o w o v i tsj e
dziwki	dzj i v k i
dowód	d o v u d
sklepionym	s k l e p i o n i2 m
7	e
ojczyzna	o j tS i2 z n a
innego	i n n e g o
sprawiło	s p r a v i w o
działa	dzj a w a
filmie	f i l m i e
jedynki	j e d i2 n k i
zajmującą	z a j m u j oc5 c oc5
ladena	l a d e n a
podręczniki	p o d r eo5 tS n i k i
podobnym	p o d o b n i2 m
zepsutej	z e p s u t e j
przebiegać	p S e b i e g a tsj
podsuniętym	p o d s u n i eo5 t i2 m
położyć	p o w o Z i2 tsj
okazja	o k a z j a
psem	p s e m
liberalizm	l j b e r a l j z m
bbc	b b c
sasami	s a s a m i
windsurfingowej	v i n d s u r f i n g o v e j
przygodę	p S i2 g o d e
glow	g l o v
szczędzą	S tS eo5 dz oc5
manii	m a n i i
tysiące	t i2 tsj oc5 c e
ciąg	tsj oc5 g
wybrzeże	v i2 b Z e Z e
oparami	o p a r a m i
dziwnych	dzj i v n i2 h
tyrana	t i2 r a n a
matką	m a t k oc5
itza	i t z a
szansę	S a n s e
buntu	b u n t u
zastanawiam	z a s t a n a v i a m
uczucie	u tS u tsj e
głosimy	g w o sj i m i2
wsze	v S e
testów	t e s t u v
partycji	p a r t i2 c j i
leczenia	l e tS e n i a
płonących	p w o n oc5 c i2 h
rozróżnić	r o z r u Z n i tsj
niedowagę	n i e d o v a g e
archiwizacji-	a r h j v i z a c j i e
podążył	p o d oc5 Z i2 w
krążenia	k r oc5 Z e n i a
franza	f r a n z a
takiego	t a k i e g o
roku	r o k u
duchem	d u h e m
oskarżony	o s k a r Z o n i2
rouge	r o u g e
złoża	z w o Z a
przypisując	p S i2 p i s u j oc5 c
podobno	p o d o b n o
lęku	l eo5 k u
natura	n a t u r a
władca	v w a d c a
ogień	o g i e n~
istotę	i s t o t e
chatka	h a t k a
brudne	b r u d n e
przypomnieć	p S i2 p o m n i e tsj
postrzegana	p o s t S e g a n a
buki	b u k i
ławrze	w a v Z e
upływ	u p w i2 v
joni	j o n i
odmaterializował	o d m a t e r j a l j z o v a w
miarą	m i a r oc5
poznać	p o z n a tsj
wypływają	v i2 p w i2 v a j oc5
urlop	u r l o p
kompleks	k o m p l e k s
aberracją	a b e r r a c j oc5
puzon	p u z o n
przemyka	p S e m i2 k a
nimfomanki	n i m f o m a n k i
ładną	w a d n oc5
cztery	tS t e r i2
rzuciła	Z u tsj i w a
istnienie	i s t n i e n i e
dziecko	dzj e c k o
jakim	j a k i m
waragi-	v a r a g i e
kielich	k i e l j h
wszechmocy	v S e h m o c i2
kolejne	k o l e j n e
odetchnęły	o d e t h n eo5 w i2
prywatnym	p r i2 v a t n i2 m
nosisz	n o sj i S
sprząta	s p S oc5 t a
she	s h e
zegar	z e g a r
nacisku	n a tsj i s k u
ruch	r u h
kto	k t o
najgorsza	n a j g o r S a
słodkimi	s w o t k i m i
ojciec	o j tsj e c
dworu	d v o r u
miotał	m i o t a w
rozważnie	r o z v a Z n i e
proces	p r o c e s
pozwolił	p o z v o l j w
zdrowiu-	z d r o v i u
okolicach	o k o l j c a h
łukasz	w u k a S
skarby	s k a r b i2
bodaj	b o d a j
celem	c e l e m
ciała	tsj a w a
zostały	z o s t a w i2
inch)-	i n c h
domu	d o m u
nowa	n o v a
tłumaczyła	t w u m a tS i2 w a
b-52	b e p i d
niemieckiemu	n i e m i e c k i e m u
zgodziliby	z g o dzj i l j b i2
wbrew	v b r e v
rozrywek	r o z r i2 v e k
zastąpić	z a s t oc5 p i tsj
parallel	p a r a l l e l
szli	S l j
skuteczniejsza	s k u t e tS n i e j S a
sekretów	s e k r e t u v
odpoczynek	o d p o tS i2 n e k
spalić	s p a l j tsj
dociekań	d o tsj e k a n~
usa	u s a
zachwytach	z a h v i2 t a h
osobnik	o s o b n i k
znamy	z n a m i2
malowany	m a l o v a n i2
ową	o v oc5
gdzieś	g dzj e sj
przypomnienie	p S i2 p o m n i e n i e
połączyłem	p o w oc5 tS i2 w e m
bowiem	b o v i e m
kreskówki	k r e s k u v k i
czasy	tS a s i2
kwaśnica	k f a sj n i c a
przeciwnikami	p S e tsj i v n i k a m i
trzynastozgłoskowcem	t S i2 n a s t o z g w o s k o v c e m
wydają	v i2 d a j oc5
nieistnienia	n i e i s t n i e n i a
koledzy	k o l e dz i2
uważałam	u v a Z a w a m
beatrycze	b e a t r i2 tS e
przynoszą	p S i2 n o S oc5
czterech	tS t e r e h
zawierają	z a v i e r a j oc5
rozkwitająca	r o z k f i t a j oc5 c a
czole	tS o l e
studia	s t u d j a
wielkim	v i e l k i m
kostiumowych	k o s t j u m o v i2 h
dziadek	dzj i a d e k
przerwa	p S e r v a
mogłam	m o g w a m
deser	d e s e r
kidzeną	k i dz e n oc5
przezorny	p S e z o r n i2
licznych	l j tS n i2 h
pośrednictwem	p o sj r e d n i c t f e m
słodkiego	s w o t k i e g o
programy	p r o g r a m i2
wtedy	v t e d i2
powołani	p o v o w a n i
wiązania	v i oc5 z a n i a
podejrzana	p o d e j Z a n a
doradza	d o r a dz a
roznosząc	r o z n o S oc5 c
wynosi	v i2 n o sj i
działanie	dzj a w a n i e
schizofrenii	s h j z o f r e n i i
prowadzi	p r o v a dzj i
następnie	n a s t eo5 p n i e
kierując	k i e r u j oc5 c
trudnością	t r u d n o sj tsj oc5
otwartymi	o t f a r t i2 m i
dziać	dzj a tsj
aktor	a k t o r
mieście	m i e sj tsj e
wzięła	v zj eo5 w a
poprawkę	p o p r a v k e
absolutnie	a b s o l u t n i e
porozumienie	p o r o z u m i e n i e
poznawania	p o z n a v a n i a
rojowiska	r o j o v i s k a
nic	n i c
kształtuje	k S t a w t u j e
ustach	u s t a h
większy	v i eo5 k S i2
meursaulta	m e u r s a u l t a
miłość	m i w o sj tsj
katalogu	k a t a l o g u
nudą	n u d oc5
nowego	n o v e g o
myślowym	m i2 sj l o v i2 m
skoncentrować	s k o n c e n t r o v a tsj
grzeszności	g Z e S n o sj tsj i
przemyt	p S e m i2 t
bezinteresowności	b e zj i n t e r e s o v n o sj tsj i
wyjątkowo	v i2 j oc5 t k o v o
okazje	o k a z j e
olejki	o l e j k i
zaznaczamy	z a z n a tS a m i2
kręciło	k r eo5 tsj i w o
przygotuj	p S i2 g o t u j
miałyby	m i a w i2 b i2
męstwa	m eo5 s t f a
czarnym	tS a r n i2 m
śmigłowca	sj m i g w o v c a
medialnego	m e d j a l n e g o
poznaliśmy	p o z n a l j sj m i2
kultem	k u l t e m
dołączymy	d o w oc5 tS i2 m i2
nieosiągalnego	n i e o tsj oc5 g a l n e g o
rozpaczliwie	r o z p a tS l j v i e
podobnie-	p o d o b n i e e
ping	p i n g
szlachetności	S l a h e t n o sj tsj i
spełniło	s p e w n i w o
pod	p o d
spróbować	s p r u b o v a tsj
wywiadu	v i2 v i a d u
przeciwko	p S e tsj i v k o
prądem	p r oc5 d e m
świadomość	sj v i a d o m o sj tsj
bajtów	b a j t u v
cieniu	tsj e n i u
dbała	d b a w a
głównego	g w u v n e g o
środku	sj r o t k u
wierny	v i e r n i2
edenu	e d e n u
ścisłości	sj tsj i s w o sj tsj i
bolkiem	b o l k i e m
pozostanie	p o z o s t a n i e
jasno	j a s n o
zwłaszcza	z v w a S tS a
precz	p r e tS
ń	n~
pozostającym	p o z o s t a j oc5 c i2 m
doświadczył	d o sj v i a d tS i2 w
sercu	s e r c u
ambasady	a m b a s a d i2
zmysłowo	z m i2 s w o v o
zagłada	z a g w a d a
pamiętniki	p a m i eo5 t n i k i
nieraz	n i e r a z
miłości	m i w o sj tsj i
paradzie	p a r a dzj e
wypad	v i2 p a d
firma	f i r m a
przykład	p S i2 k w a d
prezentują	p r e z e n t u j oc5
1-2-3	s t e d e S i2
may	m a i2
pierwszą	p i e r v S oc5
przedmiotem	p S e d m i o t e m
codziennie	c o dzj e n n i e
idzie	i dzj e
cezary	c e z a r i2
żalu	Z a l u
poruszała	p o r u S a w a
przeklętą	p S e k l eo5 t oc5
przenikają	p S e n i k a j oc5
nieśli	n i e sj l j
wergilego	v e r g i l e g o
50	p i t
magazynu	m a g a z i2 n u
obrazie	o b r a zj e
było	b i2 w o
uwolnił	u v o l n i w
sierpnia	sj e r p n i a
gangów	g a n g u v
okrucieństwa	o k r u tsj e n~ s t f a
swojego	s v o j e g o
tabelki	t a b e l k i
oznacza	o z n a tS a
kamienny	k a m i e n n i2
przyrost	p S i2 r o s t
wysoko	v i2 s o k o
kawę	k a v e
peace	p e a c e
zbyt	z b i2 t
spełnione	s p e w n i o n e
łzy	w z i2
je	j e
lewego	l e v e g o
da	d a
wpadają	v p a d a j oc5
otwarci	o t f a r tsj i
zrozumieliśmy	z r o z u m i e l j sj m i2
